No.,普通名稱TW,普通名稱CN,英文普通名
255,撲滅芬普寧,甲氰菊酯+杀螟硫磷,Fenpopathrin + fenitrothion
256,芬普寧,甲氰菊酯,Fenpropathrin
257,達馬芬普寧,甲氰菊酯+甲胺磷,Fenpropathrin + methamidophos
258,芬普福,丁苯吗啉,Fenpropimorph
259,芬普蟎,唑螨酯,Fenpyroximate
260,芬普毆蟎多,唑螨酯+炔螨特,Fenpyroximate + propargite
261,芬殺松,倍硫磷,Fenthion
262,芬化利,氰戊菊酯,Fenvalerate
263,撲芬松,氰戊菊酯+杀螟硫磷,Fenvalerate + fenitrothion
264,富爾邦,福美铁,Ferbam
265,富米綜,嘧菌腙,Ferimzone
266,富米熱斯,嘧菌腙+四氯苯酞,Ferimzone + phthalide
267,芬普尼,氟虫氰,Fipronil
268,伏速隆,吡嘧磺隆,Flazasulfuron
269,伏滅鼠,氟鼠灵,Flocoumafen
270,氟尼胺,,Flonicamid
271,伏寄普,精吡氟禾草灵,Fluazifop-p-butyl
272,扶吉胺,氟啶脲,Fluazinam
273,護賽寧,氟氰戊菊酯,Flucythrinate
274,護汰寧,喀菌清,Fludioxonil
275,氟芬隆,氟虫脲,Flufenoxuron
276,氟比來,,Fluopicolide
277,氟比拔克,#NAME?,Fluopicolide + propamocarb hydrochloride
278,氟氯比,氯氟吡氧乙酸,Fluroxypyr-meptyl
279,護矽得,氟哇唑,Flusilazole
280,氟硫滅,,Flusulfamide
281,福多寧,氟酰胺,Flutolanil
282,四氯福多寧,氟酰胺+百菌清,Flutolanil + chlorothalonil
283,護汰芬,粉唑醇,Flutriafol
284,福芬素,氯吡脲,Forchlorfenuron
285,覆滅蟎,伐虫脒,Formetanate
286,福賽得,三乙膦酸铝,Fosetyl-al
287,福賽快得寧,三乙膦酸铝+喹啉铜,Fosetyl-al + oxine-copper
288,福賽絕,噻唑磷,Fosthiazate
289,氟丙酸,,Frenock
290,二氧化矽,,Fumed silica
291,福拉比,呋吡菌胺,Furametpyr
292,伽瑪賽洛寧,Gamma-氯氟氰菊酯,Gamma-cyhalothrin
293,勃激素A3,赤霉酸,Gibberellic acid
294,勃寧激素,赤霉酸+,Gibberellin a4 with a7 + 6-benzylaminopu
295,固殺草,草铵磷,Glufosinate-ammonium
296,嘉磷塞,草甘磷,Glyphosate
297,嘉磷二四地,"草甘膦-+2,4,滴",Glyphosate + 2.4-d
298,嘉磷氟氯比,草甘膦-+氯氟吡氧乙酸,Glyphosate + fluroxypyr
299,嘉磷塞 (胺鹽 ),草甘膦-,Glyphosate ammonium
300,嘉磷塞異丙胺鹽,草甘膦-,Glyphosate ipa
301,嘉磷派芬草,草甘膦+霸草灵,Glyphosate ipa + pyraflufen-ethyl
302,嘉磷塞(三甲基硫鹽),草甘膦-,Glyphosate-trimesium
303,甘磷塞,,Glyphosine
304,合芬寧,苄螨醚,Halfenprox
305,合速隆,氯吡嘧磺隆,Halosulfuron-methyl
306,甲基合氯氟,甲基吡氟氯禾灵,Haloxyfop-methyl
307,飛達松,庚烯磷,Heptenophos
308,菲克利,己唑醇,Hexaconazole
309,菲克利腐絕,己唑醇+噻菌灵,Hexaconazole + thiabendazole
310,六伏隆,氟玲脲,Hexaflumuron
311,菲殺淨,环嗪酮,Hexazinone
312,達有淨,环嗪酮+敌草隆,Hexazinone + diuron
313,合賽多,噻螨酮,Hexythiazox
314,合賽芬普寧,噻螨酮+甲氰菊酯,Hexythiazox + fenpropathrin
315,殺紋滅達樂,#NAME?,Hymexazol + metalaxyl
316,吲哚丁酸,吲哚丁酸,Iba
317,樂馬松,#NAME?,Ibp + malathion
318,丙基喜樂砷,,Ibp + neo asozin
319,依滅列,抑霉唑,Imazalil
320,依滅草,灭草烟,Imazapyr
321,依速隆,唑吡嘧磺隆,Imazosulfuron
322,易胺座,亚胺唑,Imibenconazole
323,益達胺,吡虫啉,Imidacloprid
324,益達培丹,吡虫啉+杀螟丹,Imidacloprid + cartap
325,克熱淨,双胍辛胺,Iminoctadine triacetate
326,克熱賜圃,双胍辛胺+稻瘟灵,Iminoctadine triacetate + isoprothiolane
327,克熱淨(烷苯磺酸鹽),双胍辛胺,Iminoctadine tris(albesilate)
328,依納素,抗倒胺,Inabenfide
329,因得克,噁二唑虫,Indoxacarb
330,丙基喜樂松,异稻瘟净,Iprobenfos
331,喜樂克拉,异稻瘟净+咪鲜胺,Iprobenfos + prochloraz
332,依普同,异菌脲,Iprodione
333,依殺松,氯唑磷,Isazofos
334,亞芬松,异柳磷,Isofenphos
335,滅必蝨,异丙威,Isoprocarb
336,亞賜圃,稻瘟灵,Isoprothiolane
337,愛速隆,异恶隆,isouron
338,加福松,恶唑磷,Isoxathion
339,嘉賜黴素,春雷霉素,Kasugamycin
340,嘉賜貝芬,春雷霉素+多菌灵,Kasugamycin + carbendazim
341,嘉賜銅,春雷霉素+碱性氢氧化铜,Kasugamycin + copper oxychloride
342,嘉賜蒙,春雷霉素+,Kasugamycin + mon san
343,嘉賜快得寧,春雷霉素+喹啉铜,Kasugamycin + oxine-copper
344,嘉賜米松,春雷霉素+氯瘟磷,Kasugamycin + phosdiphen
345,嘉賜熱,春雷霉素+四氯苯酞,Kasugamycin + phthalide
346,嘉賜三賽唑,春雷霉素+三环唑,Kasugamycin + tricyclazole
347,加撲草,,Kayaethyl
348,思得寧,,Kinubon
349,喜樂紋,,Kitazin + neo asozin
350,克收欣,苯氧菌酯,Kresoxim-methyl
351,賽洛寧,氯氟氰菊酯,Lambda-cyhalothrin
352,賽洛比加普,高效氯氟氰菊酯+抗蚜威,Lambda-cyhalothrin + pirimicarb
353,賽速洛寧,高效氯氟氰菊酯+噻虫嗪,Lambda-cyhalothrin + thiamethoxam
354,益洛寧,氯氟氰菊酯+亚胺硫磷,Lamda-cyhalothrin + phosmet
355,石灰硫黃,石硫合剂,Lime & sulfur
356,理有龍,利谷隆,Linuron
357,祿芬隆,虱螨脲,Lufenuron
358,磷化鎂,磷化鎂,Magnesium phosphide
359,馬拉松,马拉硫磷,Malathion
360,馬拉克蝨,马拉硫磷+,Malathion + xmc
361,抑芽素 膽鹼鹽,抑芽丹,Maleic hydrazide
362,抑芽素,抑芽丹,"Maleic hydrazide,mh"
363,抑芽素 鉀鹽,抑芽丹,Maleic-hydrazide
364,鋅錳乃浦,代森锰锌,Mancozeb
365,鋅錳本達樂,代森锰锌+苯霜灵,Mancozeb + benalaxyl
366,鋅錳右本達樂,代森锰锌+苯霜灵-M,Mancozeb + benalaxyl-m
367,鋅錳賽得,代森锰锌+三乙膦酸铝,Mancozeb + fosetyl-al
368,鋅錳滅達樂,代森锰锌+甲霜灵,Mancozeb + metalaxyl
369,鋅錳右滅達樂,代森锰锌+精甲霜灵,Mancozeb + metalaxyl-m
370,鋅錳邁克尼,代森锰锌+腈菌唑,Mancozeb + myclobutanil
371,鋅錳毆殺斯,代森锰锌+恶霜灵,Mancozeb + oxadixyl
372,鋅錳比芬諾,代森锰锌+啶斑肟,Mancozeb + pyrifenox
373,鋅錳座賽胺,代森锰锌+,Mancozeb + zoxamide
374,錳乃浦,代森锰,Maneb
375,銅錳乃浦,代森锰+○,Maneb + copper sulphate
376,免拔草,,"Mcpa + 2, 3, 6-tba"
377,滅加松,灭蚜磷,Mecarbam
378,滅芬草,苯噻酰草胺,Mefenacet
379,滅芬免速隆,#NAME?,Mefenacet + bensulfuronmethyl
380,滅派林,嘧菌胺,Mepanipyrim
381,滅普寧,灭锈胺,Mepronil
382,美氟綜,,Metaflumizone
383,滅達樂,甲霜灵,Metalaxyl
384,右滅達樂,精甲霜灵,Metalaxyl-m
385,聚乙醛,四聚乙醛,Metaldehyde
386,滅草胺,吡唑草胺,Metazachlor
387,滅特座,叶菌唑,Metconazole
388,達馬松,甲胺磷,Methamidophos
389,斯美地,威百田,Metham-sodium
390,滅速克,磺菌威,Methasulfocarb
391,滅大松,杀扑磷,Methidathion
392,滅賜克,甲硫威,Methiocarb
393,納乃得,灭多威,Methomyl
394,納得亞滅寧,灭多威+順式氯氰菊酯,Methomyl + alpha-cypermethrin
395,納得護賽寧,灭多威+氟氰戊菊酯,Methomyl + flucythrinate
396,開抑草,○+地散磷,Methoxy phenone + bensulide
397,滅芬諾,甲氧苯酰肼,Methoxyfenozide
398,含毒甲基丁香油,,Methyl eugenol-naled
399,甲基砷酸鈣,,Methylarsonic acid
400,甲基巴拉松,甲基对硫磷,Methyl-parathion
401,免得爛,代森联,Metiram
402,免得克絕,代森联+霜脲氰,Metiram + cymoxanil
403,撲奪草,溴谷隆,Metobromuron
404,撲多草,溴谷隆+异丙甲草胺,Metobromuron + metolachlor
405,莫多草,异丙甲草胺,Metolachlor
406,治滅蝨,速灭威,Metolcarb
407,滅芬農,,Metrafenone
408,滅必淨,嗪草酮,Metribuzin
409,美文松,速灭磷,Mevinphos
410,密滅汀,密灭汀,Milbemectin
411,雙必蝨,,Mipc + bpmc
412,普滅蝨,#NAME?,Mipc + ethoprophos
413,稻得壯,禾草敌,Molinate
414,亞素靈,久效磷,Monocrotophos
415,摩朗得(酒石酸鹽),○,Morantel tartrate
416,甲基砷酸鈉,,Msma
417,治滅寧,○+胺菊酯,Mtmc + tetramethrin
418,邁克尼,腈菌唑,Myclobutanil
419,萘乙酸鈉,萘乙酸鈉,Naa-sodium
420,移植生長素,,Nad
421,乃力松,二溴磷,Naled
422,丁拉萘普,萘丙胺+丁草胺,Naproanilide + butachlor
423,滅落脫,敌草胺,Napropamide
424,鈉得爛,萘草胺,Naptalam
425,鐵甲砷酸銨,,Neo asozin
426,耐克螺,,Niclosamide
427,禾爾邦砷,,Norea + msma
428,諾伐隆,双苯氟脲,Novaluron
429,尼瑞莫,氟苯嘧啶醇,Nuarimol
430,歐滅松,氧乐果,Omethoate
431,樂滅草,恶草酮,Oxadiazon
432,丁拉樂滅草,恶草灵+丁草胺,Oxadiazon + butachlor
433,樂滅壯,恶草酮+禾草敌,Oxadiazon + molinate
434,毆殺斯,恶霜磷,Oxadixyl
435,毆殺滅,杀线威,Oxamyl
436,快得寧,喹啉铜,Oxine-copper
437,硫酸快得寧,喹啉铜+,Oxine-copper + copper sulphate
438,銅快得寧,喹啉铜+,Oxine-copper + cupric hydroxide
439,快得克絕,喹啉铜+霜脲氰,Oxine-copper + cymoxanil
440,快得依普同,喹啉铜+水胺硫磷,Oxine-copper + iprodione
441,快得滅達樂,喹啉铜+甲霜灵,Oxine-copper + metalaxyl
442,歐索林酸,喹菌酮,Oxolinic acid
443,嘉保信,氧化萎锈灵,Oxycarboxin
444,滅多松,亚砜磷,Oxydemeton methyl
445,復祿芬,乙氧氟草醚,Oxyfluorfen
446,丁拉復祿芬,乙氧氟草醚+丁草胺,Oxyfluorfen + butachlor
447,巴克素,多效唑,Paclobutrazol
448,巴拉刈,百草枯,Paraquat
449,巴達刈,百草枯+敌草隆,Paraquat + diuron
450,巴拉刈二氯鹽,百草枯,Paraquat dichloride
451,披扶座,稻瘟酯,Pefurazoate
452,平克座,戊菌唑,Penconazole
453,賓克隆,戊菌隆,Pencycuron
454,賓得克利,戊菌隆+戊唑醇,Pencycuron + tebuconazole
455,施得圃,硝草胺,Pendimethalin
456,施圃草脫淨,硝草胺+莠去津,Pendimethalin + atrazine
457,平速爛,嘧啶并三唑类磺胺,Penoxsulam
458,百滅寧,氯菊酯,Permethrin
459,礦物油,,Petroleum oil
460,脫禾草,,Phenothiol
461,酚丁滅蝨 １,苯醚菊酯+,Phenothrin + bpmc
462,撲滅芬,苯醚菊酯+杀螟硫磷,Phenothrin + fenitrothion
463,賽達松,稻丰散,Phenthoate
464,賽滅松,稻丰散+乐果,Phenthoate+dimethoate
465,福瑞松,甲拌磷,Phorate
466,裕必松,伏杀硫磷,Phosalone
467,裕馬松,伏杀硫磷+甲胺磷,Phosalone + methamidophos
468,益滅松,亚胺硫磷,Phosmet
469,益芬松,亚胺硫磷+三硫磷,Phosmet + carbophenothion
470,益滅賽寧,氯氰菊酯,Phosmet + cypermethrin
471,益丁滅蝨,亚胺硫磷+仲丁威,Phosmet + fenobucarb
472,益滅蝨,亚胺硫磷+,Phosmet + mipc
473,福賜米松,磷胺,Phosphamidon
474,福文松,磷胺+速灭磷,Phosphamidon + mevinphos
475,福賜滅蝨,磷胺+,Phosphamidon + mipc
476,好達勝,磷化氢,Phosphine
477,巴賽松,辛硫磷,Phoxim
478,熱必斯,四氯苯酞,Phthalide
479,除蟲菊精協力劑,,Piperonyl
480,愛落殺,戊草净+异戊乙净,Piperophos + dimethametryn
481,比加普,抗蚜威,Pirimicarb
482,亞特松,甲基嘧啶磷,Pirmiphos-methyl
483,保粒快得寧,#NAME?,Polyoxin b + oxine-copper
484,保粒黴素 丁,,"Polyoxin d,Polyoxorim"
485,保粒黴素 乙,多氧霉素,Polyoxins
486,保粒黴素 甲,多氧霉素,Polyoxins
487,保粒黴素,多氧霉素,Polyoxins
488,保粒保淨,多氧霉素+甲基硫菌灵,Polyoxins + thiophanate-methyl
489,碳酸氫鉀,,Potassium hydrogencarbonate
490,普拉草,丙草胺,Pretilachlor
491,普拉萘普,丙草胺+萘丙胺,Pretilachlor + naproanilide
492,撲殺熱,烯丙苯噻唑,Probenazole
493,撲殺培丹,烯丙苯噻唑+杀螟丹,Probenazole + cartap
494,撲殺賜圃,烯丙苯噻唑+稻瘟灵,Probenazole + isoprothiolane
495,撲克拉,咪鲜胺,Prochloraz
496,撲克拉錳,咪鲜胺錳,Prochloraz-manganese
497,撲滅寧,腐霉利,Procymidone
498,佈飛松,丙溴磷,Profenofos
